ano,trimestre,departamento,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2019,2,CORDOBA,MOMIL,20085795,21042644,20273853,61402292
2019,2,CORDOBA,LA APARTADA,27401941,28707317,27658497,83767755
2019,2,CORDOBA,CHINU,10618972,11124840,10718395,32462207
2019,2,CORDOBA,BUENAVISTA,57972291,60733979,58515069,177221339
2019,2,CASANARE,TRINIDAD,12635860.23,12739568.38,12090196.82,37465625.43
2019,2,CASANARE,SAN LUIS DE PALENQUE,14614748.19,14734697.96,13983629.05,43333075.19
2019,2,CASANARE,SABANALARGA,20275092.41,20441499.15,19399538.56,60116130.12
2019,1,BOLIVAR,ARJONA,59736548,55652011,60577007,175965566
2019,2,CASANARE,PORE,56608035.96,33349263.2,58034204.97,147991504.1
2019,2,CASANARE,PAZ DE ARIPORO,71724254.3,42254620.18,73531258.07,187510132.5
2019,2,CASANARE,NUNCHIA,100059303.8,61355261.55,102187327.7,263601893
2019,2,CASANARE,MONTEREY,59151072.87,59636552.15,56596709.7,175384334.7
2019,2,CASANARE,MANI,52169220.58,53984911.44,53716845.45,159870977.5
2019,2,CASANARE,HATO COROZAL,156548673.7,92226885.99,160492722.7,409268282.4
2019,2,CALDAS,LA DORADA,139875249,141183294,123564234,404622777
2019,2,BOYACA,ZETAQUIRA,409595.6797,446365.2657,377871.3744,1233832.32
2019,2,BOYACA,VILLA DE LEYVA,345104.6459,376084.8432,318375.3475,1039564.837
2019,2,BOYACA,VENTAQUEMADA,142611.7372,155414.0562,131566.0683,429591.8617
2019,2,BOYACA,TUNUNGUA,82318.97095,89708.78151,75943.14158,247970.894
2019,2,BOYACA,SUTAMARCHAN,20379.82524,22209.33119,18801.35205,61390.50848
2019,2,BOYACA,SAN SOFIA,454588.8773,495397.5226,419379.7258,1369366.126
2019,2,BOYACA,SAN LUIS DE GACENO,68101.30868,74214.79339,62826.67612,205142.7782
2019,2,BOYACA,SAMACA,405597.3297,442007.982,374182.7076,1221788.019
2019,2,BOYACA,SACHICA,245792.6874,267857.6061,226755.3717,740405.6652
2019,2,BOYACA,RAMIRIQUI,302886.7737,330077.0538,279427.3649,912391.1924
2019,2,BOYACA,PAUNA,4703.941197,5126.216086,4339.60809,14169.76537
